Experiment_id,condition_label,label_AFR_ml_min,first_raw_air_flow_ml_min,median_raw_air_flow_ml_min,raw_air_flow_min,raw_air_flow_max,air_median_minus_label
AMBR1_13,pH8.5_DO100_G10_AFR100,100.0,104.986314866519,101.63799537291149,0.0,105.049640300765,1.6379953729114902
AMBR1_14,pH8_DO100_G10_AFR100,100.0,104.963529319921,92.01669141429664,0.0,105.054683537747,-7.983308585703355
AMBR1_15,pH7.5_DO100_G10_AFR100,100.0,104.958267602474,83.12392095659725,0.0,105.048875071795,-16.876079043402754
AMBR1_16,pH7_DO100_G10_AFR100,100.0,104.888013618423,93.9827190180306,0.0,105.064394670119,-6.017280981969407
AMBR1_17,pH6.5_DO100_G10_AFR100,100.0,104.957581289238,90.1957192296538,0.0,105.084061815686,-9.804280770346196
AMBR1_18,pH6_DO100_G10_AFR100,100.0,104.911969917231,87.8829047783962,0.0,105.044014238526,-12.117095221603805
AMBR1_19,pH5.5_DO100_G10_AFR100,100.0,104.861648312537,92.921427457193,0.0,105.030265973606,-7.078572542806995
AMBR1_20,pHNA_DO0_G10_AFR100,100.0,nan,nan,nan,nan,nan
AMBR1_21,pH7.5_DO80_G10_AFR100,100.0,104.984285895079,88.8389806979715,0.0,105.063173282275,-11.161019302028507
AMBR1_22,pH7.5_DO60_G10_AFR100,100.0,105.010395353363,94.50046326775521,0.0,105.062372819009,-5.499536732244792
AMBR1_23,pH7.5_DO40_G10_AFR100,100.0,104.989500693056,99.336152873347,0.0,105.064799909239,-0.6638471266529962
AMBR1_24,pH7.5_DO20_G10_AFR100,100.0,105.002288063708,104.936396787096,0.0,105.091494348695,4.936396787096001
AMBR2_5,pH6.5_DO100_G10_AFR100,100.0,105.008335791081,103.6408344223255,0.0,105.008335791081,3.640834422325497
AMBR2_6,pH7.5_DO100_G10_AFR100,100.0,104.969362014087,103.064811312722,0.0,104.969362014087,3.064811312722
AMBR2_7,pH6.5_DO20_G10_AFR100,100.0,104.998002802892,104.994537739848,0.0,105.072827678976,4.994537739847999
AMBR2_8,pH7.5_DO20_G10_AFR100,100.0,105.018291366471,104.99695716043,0.0,105.077121777495,4.99695716043
AMBR2_9,pH6.3_DO20_G20_AFR100,100.0,104.976390101971,104.9852360920055,0.0,105.064652218451,4.9852360920054934
AMBR2_10,pH6.3_DO20_G20_AFR100,100.0,105.018571223836,104.9785225069575,0.0,105.059297589098,4.978522506957503
AMBR2_11,pH6.5_DO20_G4_AFR100,100.0,105.008960940054,104.9950758282735,0.0,105.073788798575,4.9950758282734995
AMBR2_12,pH7.5_DO20_G4_AFR100,100.0,104.951782551709,104.9924929297825,0.0,105.065009866845,4.9924929297825
AMBR2_13,pH6.5_DO20_G7_AFR100,100.0,104.974918841039,104.995777292905,0.0,105.068557003182,4.995777292905004
AMBR2_14,pH7.5_DO20_G7_AFR100,100.0,104.974430864562,104.992580334618,0.0,105.076130728734,4.9925803346179976
AMBR2_15,pH6.5_DO5_G10_AFR100,100.0,104.978706972295,104.991375289467,0.0,105.056592018311,4.991375289467001
AMBR2_16,pH7.5_DO5_G10_AFR100,100.0,105.042940883865,104.996273135839,0.0,105.066145115244,4.9962731358390045
AMBR2_17,pH6.5_DO0_G10_AFR0,0.0,0.0,0.0,0.0,0.0,0.0
AMBR2_18,pH7.5_DO0_G10_AFR0,0.0,0.0,0.0,0.0,0.0,0.0
AMBR2_19,pH7.3_DO0_G10_AFR60,60.0,59.9827433510295,59.99600429116995,0.0,60.0660382074241,-0.003995708830046851
AMBR2_20,pH7.3_DO0_G10_AFR40,40.0,40.0046703076371,39.998192165653,0.0,40.0527034649888,-0.0018078343469980496
AMBR2_21,pH7.3_DO0_G10_AFR20,20.0,19.9986932174403,19.9966686559477,0.0,20.0782881723394,-0.0033313440522988458
AMBR2_22,pH7.3_DO0_G10_AFR10,10.0,10.0059463459701,10.0010302540679,0.0,10.031812422451,0.00103025406789925
AMBR2_23,pH7.3_DO0_G10_AFR5,5.0,4.9989980696492,5.00218724795666,0.0,5.02045611989364,0.00218724795665981
AMBR2_24,pH7.5_DO0_G10_AFR0,0.0,0.0,0.0,0.0,0.0,0.0
