Experiment_id,condition_label,DO_setpoint,initial_time_min,initial_DO_percent,DO_0_to_30min_mean,DO_0_to_60min_mean,initial_minus_100,initial_minus_setpoint
AMBR1_13,pH8.5_DO100_G10_AFR100,100.0,0.0,99.8720195738069,99.94652495805414,99.96098151141783,-0.1279804261931048,-0.1279804261931048
AMBR1_14,pH8_DO100_G10_AFR100,100.0,0.0,99.9466321100108,99.94564309901781,99.95330331518153,-0.05336788998920383,-0.05336788998920383
AMBR1_15,pH7.5_DO100_G10_AFR100,100.0,0.0,99.8696364985357,99.89786453424085,99.91848566312544,-0.1303635014643021,-0.1303635014643021
AMBR1_16,pH7_DO100_G10_AFR100,100.0,0.0,99.9006302362845,99.89959781123443,99.92074030572911,-0.09936976371550088,-0.09936976371550088
AMBR1_17,pH6.5_DO100_G10_AFR100,100.0,0.0,99.9016850061955,99.90894726849355,99.93116480845164,-0.09831499380449316,-0.09831499380449316
AMBR1_18,pH6_DO100_G10_AFR100,100.0,0.0,99.9159280184346,99.93639503889419,99.95626694546607,-0.08407198156540119,-0.08407198156540119
AMBR1_19,pH5.5_DO100_G10_AFR100,100.0,0.0,99.8724248869149,99.94354242048182,99.95666664301308,-0.1275751130851006,-0.1275751130851006
AMBR1_21,pH7.5_DO80_G10_AFR100,80.0,0.0,99.6396036621589,98.65520876039184,98.5578400684181,-0.36039633784109526,19.639603662158905
AMBR1_22,pH7.5_DO60_G10_AFR100,60.0,0.0,99.4562195300956,98.32697920946701,98.19039101048104,-0.5437804699044051,39.456219530095595
AMBR1_23,pH7.5_DO40_G10_AFR100,40.0,0.0,99.4873096901626,98.32471148570393,98.24543709301278,-0.5126903098373958,59.487309690162604
AMBR1_24,pH7.5_DO20_G10_AFR100,20.0,0.0,99.6537922416429,98.54354020412036,98.41882948253473,-0.34620775835709594,79.6537922416429
AMBR2_10,pH6.3_DO20_G20_AFR100,20.0,0.0,100.101020847838,95.15265175756788,93.28816018142047,0.1010208478380008,80.101020847838
AMBR2_11,pH6.5_DO20_G4_AFR100,20.0,0.0,99.9102922306669,95.86600972611033,93.97767710562542,-0.08970776933310276,79.9102922306669
AMBR2_12,pH7.5_DO20_G4_AFR100,20.0,0.0,100.062064803323,95.25178358061773,93.42455317137018,0.06206480332299691,80.062064803323
AMBR2_13,pH6.5_DO20_G7_AFR100,20.0,0.0,99.9601456664065,95.28381495836946,93.37741176216673,-0.039854333593495994,79.9601456664065
AMBR2_14,pH7.5_DO20_G7_AFR100,20.0,0.0,99.7941504003225,95.09208205815355,93.17507946340041,-0.2058495996775065,79.7941504003225
AMBR2_15,pH6.5_DO5_G10_AFR100,5.0,0.0,99.7897994482874,95.23977260527109,93.38711476474397,-0.2102005517126031,94.7897994482874
AMBR2_16,pH7.5_DO5_G10_AFR100,5.0,0.0,100.01777704561,94.97470202086649,92.94579163592951,0.017777045610003483,95.01777704561
AMBR2_17,pH6.5_DO0_G10_AFR0,0.0,0.0,97.5096919353835,72.10902278834628,53.177807999541116,-2.4903080646164995,97.5096919353835
AMBR2_18,pH7.5_DO0_G10_AFR0,0.0,0.0,98.3715711401503,69.30856932632635,49.267971078283274,-1.6284288598497056,98.3715711401503
AMBR2_19,pH7.3_DO0_G10_AFR60,0.0,0.0,99.9421017203847,94.12200885703574,92.00191447178943,-0.05789827961530136,99.9421017203847
AMBR2_20,pH7.3_DO0_G10_AFR40,0.0,0.0,99.694146721337,93.55715909291108,91.23256589368178,-0.30585327866299394,99.694146721337
AMBR2_21,pH7.3_DO0_G10_AFR20,0.0,0.0,99.9930840722479,92.47430759670506,89.5730789923081,-0.006915927752103812,99.9930840722479
AMBR2_22,pH7.3_DO0_G10_AFR10,0.0,0.0,99.9705356813514,88.8909479349342,84.30638813959867,-0.02946431864860699,99.9705356813514
AMBR2_23,pH7.3_DO0_G10_AFR5,0.0,0.0,99.5512821282685,85.2024931990352,78.60932522305922,-0.44871787173150324,99.5512821282685
AMBR2_24,pH7.5_DO0_G10_AFR0,0.0,0.0,99.0408520903107,72.49368891112022,54.518222427962165,-0.9591479096893067,99.0408520903107
AMBR2_5,pH6.5_DO100_G10_AFR100,100.0,0.0,100.05291221901,99.39788626562363,99.52361961175491,0.052912219009996875,0.052912219009996875
AMBR2_6,pH7.5_DO100_G10_AFR100,100.0,0.0,99.9877639491172,99.43398479411378,99.55838952471787,-0.012236050882805216,-0.012236050882805216
AMBR2_7,pH6.5_DO20_G10_AFR100,20.0,0.0,99.7416286959729,94.9319590836792,92.84915010866371,-0.25837130402709363,79.7416286959729
AMBR2_8,pH7.5_DO20_G10_AFR100,20.0,0.0,99.9357255229983,95.40777872134345,93.7012311159111,-0.06427447700170319,79.9357255229983
AMBR2_9,pH6.3_DO20_G20_AFR100,20.0,0.0,99.6911064634308,94.61284685895099,92.77888794613047,-0.30889353656920093,79.6911064634308
