Experiment_id,InitialOD_ambr_csv,first_measured_time_h,first_measured_OD,min_measured_OD,max_measured_OD,first_measured_over_initial,n_measured_points
AMBR1_13,0.1,0.0,1.16085756031608,0.905120578021585,8.82835194580416,11.6085756031608,475
AMBR1_14,0.1,0.0,1.19374119041574,1.19374119041574,13.7362376999326,11.937411904157399,502
AMBR1_15,0.1,0.0,1.00861710616557,1.00861710616557,11.554123460335,10.0861710616557,501
AMBR1_16,0.1,0.0,0.996322436156895,0.979048963374407,10.9002543030848,9.96322436156895,501
AMBR1_17,0.1,0.0,0.991647717688862,0.991647717688862,12.3478245595219,9.91647717688862,501
AMBR1_18,0.1,0.0,1.10049158156769,1.01130671801719,11.8659295812017,11.004915815676899,500
AMBR1_19,0.1,0.0,1.44524701236512,0.97445050043205,7.62248173599825,14.4524701236512,500
AMBR1_20,0.1,nan,nan,nan,nan,nan,0
AMBR1_21,0.1,0.0,1.01957449596469,0.973222593212188,14.0732887644173,10.195744959646898,500
AMBR1_22,0.1,0.0,0.908583653481859,0.908583653481859,13.9134753159114,9.08583653481859,499
AMBR1_23,0.1,0.0,0.92743092448186,0.92743092448186,14.8391637838556,9.2743092448186,499
AMBR1_24,0.1,0.0,1.0127128655365,1.0127128655365,12.2570955919695,10.127128655365,499
AMBR2_5,0.1,0.0833333333333333,1.11810885059548,0.924395851597588,15.6174926422077,11.181088505954799,454
AMBR2_6,0.1,0.166666666666667,0.99217068055889,0.919039186899778,13.0172521674831,9.921706805588899,432
AMBR2_7,0.1,0.916666666666667,0.934228737025879,0.919847955468949,13.6782088291247,9.34228737025879,418
AMBR2_8,0.1,0.0,0.997074415887901,0.922891543571082,9.10752358218349,9.97074415887901,421
AMBR2_9,0.1,0.0833333333333333,1.33254778459492,0.965711485194918,22.939147566236,13.3254778459492,425
AMBR2_10,0.1,0.0833333333333333,0.940272543873024,0.910986493295614,25.5568727969395,9.402725438730238,452
AMBR2_11,0.1,0.166666666666667,1.01205688848179,0.912682640666309,11.8746806787465,10.1205688848179,422
AMBR2_12,0.1,1.83333333333333,1.01211907146833,0.975050556727018,6.302679937442,10.121190714683298,407
AMBR2_13,0.1,1.08333333333333,0.965632909560431,0.930459955316638,11.6138561423485,9.65632909560431,412
AMBR2_14,0.1,0.583333333333333,0.932181605291006,0.932181605291006,24.175511677903,9.32181605291006,428
AMBR2_15,0.1,0.166666666666667,1.56724442749901,1.04303463324521,16.8526067114698,15.6724442749901,447
AMBR2_16,0.1,0.333333333333333,0.920162418518874,0.917528785891846,13.1395975945117,9.20162418518874,433
AMBR2_17,1.1,0.0,1.11194243805703,0.916353474795052,6.56749949229963,1.0108567618700273,317
AMBR2_18,2.1,0.0833333333333333,1.1059613146759,0.905500422044478,11.8283578406747,0.5266482450837618,354
AMBR2_19,3.1,0.833333333333333,0.99824484948286,0.91159448534649,13.6934057387018,0.3220144675751161,433
AMBR2_20,4.1,0.0833333333333333,1.04395113430893,0.917175324247423,22.7460549938216,0.25462222788022687,430
AMBR2_21,5.1,0.166666666666667,0.958124891511963,0.942142160420605,16.3701122241294,0.18786762578665941,423
AMBR2_22,6.1,0.0,2.16952391005962,0.934325042375903,14.7181192260233,0.355659657386823,418
AMBR2_23,7.1,2.33333333333333,0.914665487251912,0.914665487251912,15.9858854989073,0.12882612496505802,422
AMBR2_24,8.1,2.75,0.907271494477173,0.90634897546077,13.4472329340949,0.11200882647866334,415
