Experiment_id,condition_label,initial_pH,pH_n,outside_pm_0p1_n,max_abs_diff,pH_min,pH_max,outside_pm_0p1_percent
AMBR2_9,pH6.3_DO20_G20_AFR100,6.3,451,21,0.1023633203286698,6.27048345993869,6.40236332032867,4.656319290465632
AMBR2_6,pH7.5_DO100_G10_AFR100,7.5,452,19,0.10100067823564984,7.46877862653354,7.60100067823565,4.20353982300885
AMBR1_23,pH7.5_DO40_G10_AFR100,7.5,499,15,0.10020124814302012,7.46989030176827,7.60020124814302,3.006012024048096
AMBR2_8,pH7.5_DO20_G10_AFR100,7.5,451,14,0.11190202932708004,7.46917970595169,7.61190202932708,3.1042128603104215
AMBR2_16,pH7.5_DO5_G10_AFR100,7.5,449,13,0.1079200704706702,7.46999202178417,7.60792007047067,2.89532293986637
AMBR2_7,pH6.5_DO20_G10_AFR100,6.5,452,12,0.10036243319783988,6.4705168007799,6.60036243319784,2.6548672566371683
AMBR2_14,pH7.5_DO20_G7_AFR100,7.5,450,11,0.10091825194503024,7.46831557514876,7.60091825194503,2.4444444444444446
AMBR2_5,pH6.5_DO100_G10_AFR100,6.5,452,8,0.10037442409463981,6.47051857451725,6.60037442409464,1.7699115044247788
AMBR2_10,pH6.3_DO20_G20_AFR100,6.3,451,7,0.10381049886288984,6.27040887053517,6.40381049886289,1.5521064301552108
AMBR1_24,pH7.5_DO20_G10_AFR100,7.5,499,6,0.10402328872384992,7.46917609066309,7.60402328872385,1.2024048096192386
AMBR1_17,pH6.5_DO100_G10_AFR100,6.5,501,6,0.10090773723350033,6.46999746976075,6.6009077372335,1.1976047904191618
AMBR2_13,pH6.5_DO20_G7_AFR100,6.5,450,4,0.10008042277337026,6.47051859877041,6.60008042277337,0.8888888888888888
AMBR2_12,pH7.5_DO20_G4_AFR100,7.5,450,3,0.10619606151889016,7.46908445742671,7.60619606151889,0.6666666666666667
AMBR2_20,pH7.3_DO0_G10_AFR40,7.3,448,3,0.1035210120911998,7.27091949409129,7.4035210120912,0.6696428571428571
AMBR2_22,pH7.3_DO0_G10_AFR10,7.3,447,2,0.1004696901787101,7.2711365145052,7.40046969017871,0.44742729306487694
AMBR2_21,pH7.3_DO0_G10_AFR20,7.3,448,2,0.10008016507629058,7.27087948715228,7.40008016507629,0.4464285714285714
AMBR2_11,pH6.5_DO20_G4_AFR100,6.5,450,1,0.10348800491235988,6.47064614286657,6.60348800491236,0.2222222222222222
AMBR1_21,pH7.5_DO80_G10_AFR100,7.5,500,1,0.10291178442604032,7.46998039246901,7.60291178442604,0.2
AMBR2_15,pH6.5_DO5_G10_AFR100,6.5,449,1,0.10093232921828044,6.47033545442726,6.60093232921828,0.22271714922048996
AMBR2_19,pH7.3_DO0_G10_AFR60,7.3,448,1,0.10044547636362022,7.27085171777945,7.40044547636362,0.2232142857142857
AMBR1_15,pH7.5_DO100_G10_AFR100,7.5,501,1,0.1002925926860696,7.47136084318358,7.60029259268607,0.19960079840319359
AMBR1_18,pH6_DO100_G10_AFR100,6.0,500,1,0.10019428164850996,5.97028433158826,6.10019428164851,0.2
AMBR1_16,pH7_DO100_G10_AFR100,7.0,501,1,0.10009977683094995,6.96987998494956,7.10009977683095,0.19960079840319359
AMBR1_22,pH7.5_DO60_G10_AFR100,7.5,499,1,0.10000668033234028,7.47032636895737,7.60000668033234,0.2004008016032064
AMBR2_23,pH7.3_DO0_G10_AFR5,7.3,447,0,0.09995980318127984,7.27086301497659,7.39995980318128,0.0
AMBR1_14,pH8_DO100_G10_AFR100,8.0,501,0,0.09995529432825023,7.97131798058789,8.09995529432825,0.0
AMBR1_19,pH5.5_DO100_G10_AFR100,5.5,500,0,0.0996752727567598,5.47029204810011,5.59967527275676,0.0
AMBR1_13,pH8.5_DO100_G10_AFR100,8.5,502,0,0.09902372110058089,8.46414078778375,8.59902372110058,0.0
AMBR2_24,pH7.5_DO0_G10_AFR0,7.5,447,0,0.03293268152405027,7.47069358829199,7.53293268152405,0.0
AMBR2_18,pH7.5_DO0_G10_AFR0,7.5,448,0,0.02890791351724964,7.47109208648275,7.49456539699031,0.0
AMBR2_17,pH6.5_DO0_G10_AFR0,6.5,449,0,0.028173074806080223,6.47182692519392,6.48527621202546,0.0
