fold_index,seed,training_time_s,inference_time_s
0,42,1031.488645328005,0.034681475997786
1,42,1153.8183028580024,0.0292873040016274
2,42,1191.7334311039958,0.0283287040001596
3,42,1237.9479222630034,0.0315598800007137
4,42,1257.5647877920055,0.0338075359977665
5,42,1267.816264626999,0.0302974540027207
6,42,1302.8934997379984,0.0308134500010055
7,42,1337.8892718850038,0.029362419998506
8,42,1290.4664759310035,0.0304719699997804
9,42,1319.8403045939997,0.0287616429995978
10,42,1321.8050601229988,0.0304955090032308
11,42,1320.6835795399966,0.0298651869961759
12,42,1308.447030233001,0.0312669039994943
13,42,1317.5186313609884,0.0295667010068427
14,42,1343.951104599997,0.0307266739982878
15,42,1337.583709943996,0.0329584800056181
16,42,1323.439786735005,0.0291298829979496
17,42,1344.7141020400013,0.0286740139999892
18,42,1336.1990075020003,0.0292782679898664
19,42,1333.4124456370046,0.0296476389921735
20,42,1354.078160370991,0.0298694599914597
21,42,1332.6974763720063,0.02911005799251143
